,LA:1,LA:2,LA:3,LA:4,LA:5,LA:6,LA:7,LA:8,LA:9,LA:10,LA:11,LA:12
125,427.0,216.08,428.67,211.78,390.65,365.31,222.99,223.7,362.09,361.55,383.83,219.08
126,216.08,428.67,211.78,390.65,365.31,222.99,223.7,362.09,361.55,383.83,219.08,357.29
127,428.67,211.78,390.65,365.31,222.99,223.7,362.09,361.55,383.83,219.08,357.29,360.41
128,211.78,390.65,365.31,222.99,223.7,362.09,361.55,383.83,219.08,357.29,360.41,397.29
129,390.65,365.31,222.99,223.7,362.09,361.55,383.83,219.08,357.29,360.41,397.29,211.5
130,365.31,222.99,223.7,362.09,361.55,383.83,219.08,357.29,360.41,397.29,211.5,354.61
131,222.99,223.7,362.09,361.55,383.83,219.08,357.29,360.41,397.29,211.5,354.61,416.67
132,223.7,362.09,361.55,383.83,219.08,357.29,360.41,397.29,211.5,354.61,416.67,163.42
133,362.09,361.55,383.83,219.08,357.29,360.41,397.29,211.5,354.61,416.67,163.42,403.5
134,361.55,383.83,219.08,357.29,360.41,397.29,211.5,354.61,416.67,163.42,403.5,208.3
135,383.83,219.08,357.29,360.41,397.29,211.5,354.61,416.67,163.42,403.5,208.3,440.0
136,219.08,357.29,360.41,397.29,211.5,354.61,416.67,163.42,403.5,208.3,440.0,456.93
137,357.29,360.41,397.29,211.5,354.61,416.67,163.42,403.5,208.3,440.0,456.93,469.31
138,360.41,397.29,211.5,354.61,416.67,163.42,403.5,208.3,440.0,456.93,469.31,649.88
139,397.29,211.5,354.61,416.67,163.42,403.5,208.3,440.0,456.93,469.31,649.88,214.05
140,211.5,354.61,416.67,163.42,403.5,208.3,440.0,456.93,469.31,649.88,214.05,218.33
141,354.61,416.67,163.42,403.5,208.3,440.0,456.93,469.31,649.88,214.05,218.33,211.65
142,416.67,163.42,403.5,208.3,440.0,456.93,469.31,649.88,214.05,218.33,211.65,214.25
143,163.42,403.5,208.3,440.0,456.93,469.31,649.88,214.05,218.33,211.65,214.25,507.21
144,403.5,208.3,440.0,456.93,469.31,649.88,214.05,218.33,211.65,214.25,507.21,215.58
145,208.3,440.0,456.93,469.31,649.88,214.05,218.33,211.65,214.25,507.21,215.58,440.82
146,440.0,456.93,469.31,649.88,214.05,218.33,211.65,214.25,507.21,215.58,440.82,440.0
